InstanceID	N0	N1	X	N2	Class
138	1412.5291206751488	1465.5570776639245	2843.5322429784123	2072.4733043104593	0.909297427
434	1632.67572856588	1704.3851779700938	2817.54020165365	2313.776395047273	-0.544021111
27	2193.8653597455905	2341.802901406139	3397.413062979539	2930.1556445372235	0.0
70	2187.8700961874642	2321.5154873696206	3578.6352194975534	3037.8312766865374	0.141120008
312	1333.967791834277	1439.144025947404	2790.49320793099	2050.8761353696373	0.841470985
418	1217.8281317468095	1225.5493386550356	2482.0573949048458	1852.9224792775822	-0.756802495
181	2042.3740449159616	2227.0603793400824	3331.5054450279863	2911.980291330072	0.0
363	2070.636478682387	2129.8791092616098	3302.7440701735045	2837.606953017521	-0.279415498
93	1234.731402591448	1225.47105754054	2417.3642431974295	1882.6452572628218	-0.756802495
171	1700.1626129976003	1724.3275530500198	3089.3416627804113	2395.732506704486	0.656986599
20	1682.3221305965412	1808.5409118176983	3193.4613163289746	2447.236160341499	0.656986599
57	2059.196774840252	2145.857365337939	3439.9529836328907	2792.2234541045955	0.412118485
416	2070.189715589986	2003.33895285775	3336.18208150538	2713.1814478615474	0.412118485
252	1316.5754146704933	1372.8128032558297	2771.7302871196443	2039.4905477116924	0.909297427
279	1592.4579114916253	1766.3668001507458	3144.8741080148534	2326.8745624414296	0.656986599
163	1181.5045985244587	1214.8373933285313	2430.827405044573	1859.4155296589697	-0.756802495
453	1273.3377089864562	1391.172618971928	2818.5406596684657	2086.618714441274	0.989358247
493	2253.3008271933086	2341.5956507311002	3541.974842879876	2933.0571423212446	0.141120008
37	1312.3169542657613	1374.1664121704132	2774.0088568306783	2051.8008073809724	0.909297427
399	1500.4301883611613	1579.1406723703817	2947.134485503138	2132.395729146202	0.841470985
293	1366.517321252838	1347.0773604262504	2757.36511598742	2027.7354277706156	0.909297427
104	1389.9914357398852	1532.9864905886832	2934.911127402722	2083.1383576348376	0.909297427
178	2078.3329317025878	2303.646942011786	3356.2817445052906	2894.7733624977677	0.0
272	1259.4509436658604	1313.3611259882498	2508.0069732787088	1873.2267696326826	-0.756802495
210	1492.1565238406486	1534.9053018112188	2976.473216748233	2100.229202501409	0.841470985
141	1271.6139828147568	1290.8115732951928	2504.3111484444958	1938.6700468860354	-0.756802495
304	2245.7158502350912	2377.1037561239077	3457.5892313729	3056.4601908378377	0.0
305	2225.564311490535	2402.0979344496363	3489.9097314077326	3025.747882733936	0.0
125	1340.4116356457675	1354.1071493037264	2808.946534023427	1933.861662818728	0.989358247
154	1344.387037165357	1363.0193042389953	2807.480442025682	2019.34380418172	0.989358247
225	1996.5714143444065	2086.9980362248693	3391.8815272608	2718.064092178568	0.412118485
274	1959.5228189921777	1971.018412637773	3281.6112505482715	2601.3272816058734	0.412118485
29	1956.7390453120433	1912.704977355028	3248.4665826086816	2589.2878469058523	0.412118485
372	1385.2747375842112	1461.6930962819347	2903.1866630883724	1960.4975883475743	0.989358247
193	1437.5070524156235	1467.105245135355	2924.9664738405136	2033.1009029934542	0.841470985
306	1646.2347927298113	1705.2470749131712	3112.476035729484	2239.104238072987	0.656986599
65	2184.9091636170438	2276.2096733691073	3508.2344087443794	3003.962357778856	-0.279415498
484	2022.8955683798354	2240.028765137811	3288.6804479933703	2747.6023865186507	0.0
153	1641.8217419473297	1574.8560585903713	2998.5601035686936	2232.606240153832	0.656986599
465	1338.8471722091872	1534.9395907557728	2881.814750961604	2093.7280216004356	0.841470985
247	1143.0279126199996	1206.3065144696159	2433.813722175814	1818.4234285629177	-0.756802495
394	1196.2123365128193	1268.1369179796523	2481.733146025678	1847.6900326518692	-0.756802495
308	2091.94985207289	2166.9071967600485	3460.0978957693223	2869.720898745154	0.412118485
395	2132.5222640037036	2327.1890504848584	3568.277221076949	2888.6469041975524	-0.279415498
233	1477.9823268947962	1508.8998015634775	2944.9144645488996	2176.114947287555	0.841470985
485	1546.3844925012206	1680.2215370722113	2824.612111614508	2273.297148779255	-0.544021111
21	1776.7829047377952	1779.5857132672033	3261.686257991525	2462.8824982059123	0.656986599
278	1614.1064306229941	1708.2388347073477	3143.3876501932496	2372.144815830896	0.656986599
316	1646.1386250689168	1726.2745631249122	3150.8403110027816	2323.397366675101	0.656986599
491	1355.5608161504458	1391.6173600439079	2793.289070796102	2079.5395842281187	0.909297427
183	2099.6020753201174	2358.8606100695465	3445.119296123132	3003.887981815891	0.0
405	1678.543122388779	1705.9909321830194	3166.4134795265463	2344.2615843466046	0.656986599
469	2213.6981321570784	2291.634836226678	3536.436508597299	3046.608376547571	0.141120008
348	1399.8279080811528	1457.8521172388018	2591.2174281513508	2097.79673431596	-0.544021111
444	1679.0721174333928	1663.1389866506415	3137.431249996848	2316.149747023174	0.656986599
140	1611.6513396663936	1722.9920951990082	3145.2955228273577	2312.272738091376	0.656986599
415	1883.4923372703831	1908.3169088324778	3254.454890496249	2650.309485139446	0.412118485
419	1486.0339027935142	1514.03318315117	2709.2992426264723	2222.540185629314	-0.544021111
286	933.3191344396215	977.3101873646831	2227.0795415350967	1557.1686492638175	-0.958924275
498	1411.036174617828	1425.2770497889276	2939.372645333276	2179.980178112359	0.989358247
54	1386.5785047058307	1466.4608582877079	2667.4719777747982	2097.228056693068	-0.756802495
109	2273.2145017888015	2288.4417168222485	3580.7628520129315	2982.0660344004436	0.412118485
298	1722.1103091106281	1837.3627635913579	3240.736192671419	2441.396526834207	0.656986599
34	1518.776027865335	1590.720799625355	2935.548503002868	2148.2772667798904	0.909297427
244	1341.6679449894098	1470.551872702658	2908.1274479250765	2043.2192247641217	0.989358247
458	1738.9580477307295	1779.0147983773918	3185.6882324038916	2401.7025941348625	0.656986599
220	1335.4248028745692	1358.259590864035	2835.149846694895	2003.6102040209557	0.989358247
344	2047.3166034173546	2280.601120481308	3406.1468052217856	2938.600454260139	0.0
204	1712.784113044181	1722.6589328128607	3195.3971833676956	2384.763971534043	0.656986599
72	1982.1059139452088	1990.7802683317077	3362.5307753745424	2661.8543627947224	0.412118485
401	1173.6078881612013	1200.5145882358631	2445.7222900358447	1830.6960102608264	-0.756802495
411	1315.0044682792918	1402.052169111694	2607.0447716012204	1956.0768068031277	-0.756802495
388	1352.780003988625	1377.5328869381367	2601.008486406615	1997.4474486452127	-0.756802495
456	1632.7178220040773	1652.304696424182	3023.261673208621	2289.9612372021156	0.841470985
309	2075.3342867213014	2209.964053554404	3422.4314686461053	2866.099758143822	-0.279415498
318	1402.0189680176616	1603.877231260501	2998.212992247233	2110.1337471733837	0.909297427
75	2283.1935156543914	2239.4247403207223	3581.1574863368637	2968.5544228634976	0.412118485
99	1240.692465341332	1342.2282083706077	2547.7951514356973	1933.6033853947702	-0.756802495
422	1619.473589171972	1776.4711564057968	2842.2611730376834	2361.224121706946	-0.544021111
26	1525.826134151257	1501.171984730313	2939.6073096498953	2247.962351096767	0.841470985
126	1318.5560557643441	1362.1371986012243	2644.221966390857	2018.4780350262702	-0.756802495
49	1614.3791679841195	1531.6708565946233	2981.7467736166036	2286.8204143755192	0.841470985
236	2251.8516380263713	2410.506440713663	3658.9261313274937	3113.038087819314	0.141120008
452	1382.8965299106903	1403.8043121047842	2854.3081651624966	2034.0072800338721	0.989358247
172	1664.215674652211	1774.6783934274367	3199.6249451060203	2382.992735440011	0.656986599
146	2255.005423645466	2343.904592853999	3582.551401937118	3012.7761733741418	0.141120008
464	1360.372008506695	1383.0746568809438	2885.5974340312105	1986.1354001590305	0.989358247
25	969.0221996229827	1033.0456166636977	2285.859035941484	1690.959833405885	-0.958924275
400	1210.4885158535508	1322.3983164010936	2465.151236380977	1922.4246456794488	-0.756802495
429	1960.7330471011796	1934.6196632543874	3420.692184679165	2654.014255951194	0.656986599
285	1803.1740232010266	1880.1453366184069	3351.197100728473	2554.3632257042045	0.656986599
237	1630.829997735279	1700.8443973926394	2865.6255636599185	2327.630109624046	-0.544021111
412	1390.0592241838594	1493.0479929702742	2956.9350821417934	2131.6325168754875	0.909297427
289	1866.8793184112048	1932.6440970209246	3361.6843912808154	2547.33089659811	0.656986599
397	2182.2745065764802	2257.948018716999	3522.743269343395	2946.8742834591067	-0.279415498
477	2062.898848290491	2076.130189290149	3407.3590641908368	2735.5860085693193	0.412118485
271	1942.377191594223	2109.748204303124	3367.0398199366473	2733.7369966164642	0.412118485
222	1096.3913235240805	1177.946150663443	2487.7136343950124	1835.0557237242626	-0.756802495
338	2120.4511816213453	2379.4082937110206	3419.7539582066033	2909.989451069562	0.0
43	1614.1463982934831	1739.3473330468123	2931.8507824120297	2366.261226288725	-0.544021111
324	2039.910092638381	2361.678264749712	3416.102731473977	2865.38178162575	0.0
413	1627.2667661524144	1672.7792566485382	3131.1630959996924	2344.905729775268	0.656986599
