InstanceID	N1	X	N2	Class
297	1858.7723791172282	3755.071114047068	1223.0924962151348	162.0
268	1350.6815653128688	3563.121802925151	1275.641356794002	128.0
278	2428.6987875701147	4890.93269980916	2141.0329819565277	32.0
181	1567.1595962785268	3835.2901100964928	1488.619052147465	114.0
289	1827.233916701908	3256.0218701228873	1238.8189727213398	194.0
21	1789.0875696223893	3577.226224686468	1225.2461698493153	178.0
10	1367.0868430635696	3628.390222722989	1529.2821477513899	8.0
334	2447.670484822736	4787.979762732861	1832.1578595507253	106.0
436	1879.484403307221	3631.2986392495022	1302.2932932622616	174.0
142	1608.191264234476	3854.905074231034	1268.6751877086815	152.0
357	1472.075960532475	2806.893146740022	1024.5641292358912	198.0
416	1978.8651016963022	4207.592480474313	1548.37851298902	158.0
174	2519.9598373391027	4932.469694287556	1922.7554146693915	116.0
140	2630.633637901922	5231.749142844993	2111.642580397056	72.0
367	1751.2673315955744	3273.677362269031	1180.7293828716904	188.0
24	1772.2322759055764	4217.646709063934	1854.7272267032783	82.0
443	1125.9364820743422	2798.108588147137	983.4586014907791	188.0
331	1267.8334204310925	2884.1929511426733	1023.9644706000028	194.0
418	2319.724309227064	4590.133719181267	1679.4926468171486	152.0
320	2004.6317696921358	4214.936718418125	2004.824063411561	6.0
34	2483.632511451837	4885.260936025572	1907.152805262025	108.0
349	2063.4401112703404	3981.7826155026564	1399.0652044735725	160.0
160	2180.835480419897	4630.295987323491	1965.4288728961403	86.0
175	2455.6628608578026	5200.566351892219	2013.9656282507542	54.0
193	2106.2193822322006	4141.368302637463	1996.141373678516	12.0
321	2271.6946591569867	4571.107691876443	2193.0706065277773	24.0
72	1728.9252427128458	3804.3395546969978	1425.0507323675365	94.0
299	1978.1654461749865	3987.2553548295664	1319.7343705357953	152.0
156	2185.642310584408	4524.076505648937	1820.4706512380344	82.0
368	2034.1554399089798	4219.275692323505	1450.623685241716	126.0
236	1760.8089623203593	4006.318478888552	1591.3443333799798	100.0
273	2557.182633642991	4665.382756319943	1748.8277404978196	80.0
417	2039.6434135536877	3816.0150355550886	1385.0559245621416	170.0
75	1838.980667893469	4309.461478855229	1768.66873298112	26.0
99	1668.0527835534097	3816.0856649770362	1341.2998316932337	128.0
26	1532.0472909361974	4286.756381218783	1683.0790338105087	54.0
126	1884.8704448140454	3787.6084955324723	1248.1262953946614	162.0
49	2130.1481614479517	4055.866519788349	1509.4077089171933	162.0
185	2498.2340697220875	4789.9653830230545	1771.9521665545712	98.0
337	1926.7586237848332	3893.6113811488685	1461.823602449588	158.0
146	2625.1832348215594	5150.897935141483	2047.026184415482	62.0
411	1819.1424178680118	3834.6879073309374	1386.5538865568003	150.0
25	2324.6994725177037	4652.998787620373	1851.9707372074333	112.0
353	2262.912536548486	4356.662262741387	1590.2487355624264	154.0
380	2135.233700942479	4832.863016871773	1860.0677229549256	46.0
96	2386.271609840202	4709.583012480555	1863.93872971574	98.0
244	1202.7821536238978	3289.2028888690256	1019.0061034593747	142.0
243	1620.2104130049484	3837.9562924860447	1259.60013858754	154.0
159	2511.5092114088457	5247.924945077794	2069.0344691693954	58.0
229	1700.0759339127899	4069.4951626286224	1344.8778375997108	102.0
43	2344.4102480647134	4825.848192928828	1969.3033810069962	52.0
286	2153.2364387504417	4261.83075585093	1512.9335734328417	130.0
365	1867.2964793944914	4400.182901997369	1844.795792824692	24.0
344	1038.8646401757157	2568.3948643284834	896.1318735543178	192.0
376	1472.2562945675043	3717.1300043396236	1219.355190912876	150.0
233	1812.586124295113	4125.795984463084	1420.5363128986676	148.0
274	1054.0670827668105	2455.5744956664334	913.0085003200221	198.0
312	2281.53982614976	4389.910807444302	2237.1148699319956	8.0
33	1942.1432740304797	4429.333941170392	1653.353914987298	118.0
431	1542.3465190189895	4054.956145217926	1688.3845313554293	26.0
144	2522.8929184336703	4815.668284944953	1782.0132390731937	108.0
106	1348.8986562712155	3617.904387878555	1102.5124780950873	124.0
40	2361.302944893259	5031.3829227021115	1973.278483236812	44.0
190	2138.8827809893073	4206.071251412227	1552.5095107087395	122.0
388	2279.169415671864	4638.376605564797	1876.3931934871746	94.0
298	1469.950846424361	3821.3546028203664	1345.7301312382162	124.0
19	1303.0944283415124	3357.0107647654568	1064.7568220194535	162.0
18	2530.24344359877	4921.751697698654	1985.451680580177	96.0
78	2358.244693521896	4955.903143516868	2011.8811663922415	38.0
363	1440.3036064559305	4045.498197528843	1642.9747061661292	30.0
54	1077.5348599344675	2327.2638340500125	838.457329371562	200.0
438	2545.3082973485202	4860.816332711745	1975.8819192307228	84.0
76	1284.282233656954	3544.715218645901	1184.3531339623594	148.0
188	2379.7210621867193	4871.359646229274	2331.3176719355583	34.0
338	1627.214680690992	3643.028611480181	1455.9190179531265	128.0
226	1984.7834063000998	4277.434624255994	1408.580373548428	122.0
222	2152.030688806511	4643.512416936188	1765.0910955318259	74.0
168	2090.405662299998	3983.6892778603665	1448.1108070828004	138.0
82	1936.4284027998522	3962.752241652778	1539.5601570283968	134.0
205	2036.93357586868	4276.224864502432	1544.9964752995616	134.0
147	2229.6046667276532	4623.586300952243	1717.8342407891425	118.0
172	1999.4416154498397	4504.9396078002	1760.479431908002	72.0
316	1717.2193473964048	4100.1505878581675	1717.0537666794387	90.0
360	2395.0510372562558	4804.322597714028	2276.9001646632323	24.0
166	1652.26105773492	4078.5901684671976	1528.5864797528034	94.0
134	2103.5606649431083	4342.579222226554	2006.1109858003817	24.0
237	2294.6222437591223	4327.546345284169	1471.9474525376042	118.0
115	1279.2965208099674	2881.7301060894615	960.7465394866241	182.0
132	1065.4327292823361	2688.165089751399	888.1169783962252	188.0
293	1659.0568123128933	4081.5283484964666	1652.1672672437423	20.0
204	2323.693511385374	4555.489778992632	2243.8356943093104	18.0
161	1714.5552822447546	4323.256342718517	1788.6609305605245	62.0
271	1929.4272721135555	3999.27047668061	1190.1045601136932	126.0
383	2156.041976409263	4540.2699542251485	1869.377121043252	80.0
310	2063.7652535867855	4730.545576979975	1878.0150378188775	38.0
